start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,159,0.165625,61,C4#,49,2
160,0.166666,159,0.165625,64,E4,49,2
320,0.333333,159,0.165625,69,A4,49,2
480,0.5,159,0.165625,73,C5#,49,1
640,0.666666,159,0.165625,76,E5,49,1
800,0.833333,159,0.165625,78,F5#,49,1
960,1.0,159,0.165625,80,G5#,49,1
1120,1.166666,159,0.165625,75,D5#,49,1
1280,1.333333,159,0.165625,71,B4,49,1
1440,1.5,159,0.165625,68,G4#,49,2
1600,1.666666,159,0.165625,63,D4#,49,2
1760,1.833333,159,0.165625,59,B3,49,2
1920,2.0,159,0.165625,57,A3,49,2
2080,2.166666,159,0.165625,61,C4#,49,2
2240,2.333333,159,0.165625,66,F4#,49,2
2400,2.5,159,0.165625,69,A4,49,1
2560,2.666666,159,0.165625,73,C5#,49,1
2720,2.833333,159,0.165625,75,D5#,49,1
2880,3.0,159,0.165625,76,E5,49,1
3040,3.166666,159,0.165625,71,B4,49,1
3200,3.333333,159,0.165625,68,G4#,49,1
3360,3.5,159,0.165625,64,E4,49,2
3520,3.666666,159,0.165625,59,B3,49,2
3680,3.833333,159,0.165625,56,G3#,49,2
3840,4.0,159,0.165625,54,F3#,49,2
3840,4.0,159,0.165625,54,F3#,49,2
4000,4.166666,159,0.165625,57,A3,49,2
4160,4.333333,639,0.665625,61,C4#,49,2
4320,4.5,479,0.498958,73,C5#,49,1
4480,4.666666,159,0.165625,66,F4#,49,1
4640,4.833333,639,0.665625,69,A4,49,1
4800,5.0,479,0.498958,78,F5#,49,1
4800,5.0,159,0.165625,52,E3,49,2
4800,5.0,159,0.165625,52,E3,49,2
4960,5.166666,159,0.165625,57,A3,49,2
5120,5.333333,639,0.665625,61,C4#,49,2
5280,5.5,479,0.498958,73,C5#,49,1
5440,5.666666,159,0.165625,66,F4#,49,1
5600,5.833333,639,0.665625,69,A4,49,1
5760,6.0,479,0.498958,73,C5#,49,1
5760,6.0,159,0.165625,51,D3#,49,2
5760,6.0,159,0.165625,51,D3#,49,2
5920,6.166666,159,0.165625,57,A3,49,2
6080,6.333333,639,0.665625,61,C4#,49,2
6240,6.5,479,0.498958,73,C5#,49,1
6400,6.666666,159,0.165625,66,F4#,49,1
6560,6.833333,639,0.665625,69,A4,49,1
6720,7.0,479,0.498958,78,F5#,49,1
6720,7.0,159,0.165625,49,C3#,49,2
6720,7.0,159,0.165625,49,C3#,49,2
6880,7.166666,159,0.165625,57,A3,49,2
7040,7.333333,639,0.665625,64,E4,49,2
7200,7.5,959,0.998958,81,A5,49,1
7360,7.666666,159,0.165625,69,A4,49,1
7520,7.833333,159,0.165625,73,C5#,49,1
7680,8.0,159,0.165625,47,B2,49,2
7840,8.166666,159,0.165625,54,F3#,49,2
8000,8.333333,159,0.165625,57,A3,49,2
