start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,239,0.398333,73,C5#,49,1
0,0.0,239,0.398333,69,A4,49,1
0,0.0,455,0.758333,45,A2,49,2
0,0.0,455,0.758333,52,E3,49,2
240,0.4,227,0.378333,71,B4,49,1
240,0.4,227,0.378333,68,G4#,49,1
480,0.8,239,0.398333,66,F4#,49,1
480,0.8,959,1.598333,74,D5,49,1
480,0.8,239,0.398333,66,F4#,49,1
480,0.8,455,0.758333,33,A1,49,2
720,1.2,227,0.378333,62,D4,49,1
960,1.6,239,0.398333,57,A3,49,1
1200,2.0,227,0.378333,54,F3#,49,1
1440,2.4,239,0.398333,73,C5#,49,1
1440,2.4,239,0.398333,69,A4,49,1
1440,2.4,455,0.758333,45,A2,49,2
1440,2.4,455,0.758333,50,D3,49,2
1680,2.8,227,0.378333,71,B4,49,1
1680,2.8,227,0.378333,68,G4#,49,1
1920,3.2,911,1.518333,66,F4#,49,1
1920,3.2,911,1.518333,66,F4#,49,1
1920,3.2,239,0.398333,33,A1,49,2
1983,3.305,895,1.491666,81,A5,49,1
2160,3.6,227,0.378333,50,D3,49,2
2400,4.0,239,0.398333,45,A2,49,2
2640,4.4,227,0.378333,42,F2#,49,2
2880,4.8,359,0.598333,69,A4,49,1
2880,4.8,479,0.798333,66,F4#,49,1
2880,4.8,239,0.398333,38,D2,49,2
3120,5.2,227,0.378333,50,D3,49,2
3240,5.4,113,0.188333,71,B4,54,1
3360,5.6,359,0.598333,71,B4,56,1
3360,5.6,479,0.798333,64,E4,56,1
3360,5.6,479,0.798333,68,G4#,56,1
3360,5.6,239,0.398333,50,D3,49,2
3360,5.6,239,0.398333,52,E3,49,2
3360,5.6,239,0.398333,56,G3#,49,2
3600,6.0,227,0.378333,59,B3,49,2
3720,6.2,113,0.188333,76,E5,62,1
3840,6.4,455,0.758333,76,E5,64,1
3840,6.4,455,0.758333,64,E4,64,1
3840,6.4,455,0.758333,69,A4,64,1
3840,6.4,239,0.398333,49,C3#,49,2
