start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,2399,4.997916,86,D6,33,1
0,0.0,2879,5.997916,91,G6,33,1
0,0.0,2879,5.997916,98,D7,33,1
0,0.0,4799,9.997916,31,G1,33,2
0,0.0,3839,7.997916,38,D2,33,2
0,0.0,5759,11.997916,43,G2,33,2
480,1.0,479,0.997916,62,D4,33,1
480,1.0,479,0.997916,67,G4,33,1
480,1.0,479,0.997916,74,D5,33,1
480,1.0,479,0.997916,50,D3,33,2
480,1.0,479,0.997916,55,G3,33,2
960,2.0,479,0.997916,64,E4,33,1
960,2.0,479,0.997916,69,A4,33,1
960,2.0,479,0.997916,76,E5,33,1
960,2.0,479,0.997916,52,E3,33,2
960,2.0,479,0.997916,57,A3,33,2
1440,3.0,479,0.997916,71,B4,33,1
1440,3.0,479,0.997916,76,E5,33,1
1440,3.0,479,0.997916,83,B5,33,1
1440,3.0,479,0.997916,59,B3,33,2
1440,3.0,479,0.997916,64,E4,33,2
1920,4.0,479,0.997916,74,D5,33,1
1920,4.0,479,0.997916,79,G5,33,1
1920,4.0,479,0.997916,86,D6,33,1
1920,4.0,479,0.997916,62,D4,33,2
1920,4.0,479,0.997916,67,G4,33,2
2400,5.0,479,0.997916,76,E5,33,1
2400,5.0,479,0.997916,81,A5,33,1
2400,5.0,479,0.997916,88,E6,33,1
2400,5.0,479,0.997916,64,E4,33,2
2400,5.0,479,0.997916,69,A4,33,2
3360,7.0,479,0.997916,38,D2,33,2
3840,8.0,959,1.997916,31,G1,33,2
4800,10.0,959,1.997916,38,D2,33,2
5760,12.0,2399,4.997916,86,D6,33,1
5760,12.0,2879,5.997916,91,G6,33,1
5760,12.0,2879,5.997916,98,D7,33,1
5760,12.0,4799,9.997916,29,F1,33,2
5760,12.0,3839,7.997916,36,C2,33,2
5760,12.0,5759,11.997916,41,F2,33,2
6240,13.0,479,0.997916,62,D4,33,1
6240,13.0,479,0.997916,67,G4,33,1
6240,13.0,479,0.997916,74,D5,33,1
6240,13.0,479,0.997916,50,D3,33,2
6240,13.0,479,0.997916,55,G3,33,2
6720,14.0,479,0.997916,64,E4,33,1
6720,14.0,479,0.997916,69,A4,33,1
6720,14.0,479,0.997916,76,E5,33,1
6720,14.0,479,0.997916,52,E3,33,2
6720,14.0,479,0.997916,57,A3,33,2
7200,15.0,479,0.997916,71,B4,33,1
7200,15.0,479,0.997916,76,E5,33,1
7200,15.0,479,0.997916,83,B5,33,1
7200,15.0,479,0.997916,59,B3,33,2
7200,15.0,479,0.997916,64,E4,33,2
7680,16.0,479,0.997916,74,D5,33,1
7680,16.0,479,0.997916,79,G5,33,1
7680,16.0,479,0.997916,86,D6,33,1
7680,16.0,479,0.997916,62,D4,33,2
7680,16.0,479,0.997916,67,G4,33,2
8160,17.0,479,0.997916,76,E5,33,1
8160,17.0,479,0.997916,81,A5,33,1
8160,17.0,479,0.997916,88,E6,33,1
8160,17.0,479,0.997916,64,E4,33,2
8160,17.0,479,0.997916,69,A4,33,2
9120,19.0,479,0.997916,36,C2,33,2
9600,20.0,959,1.997916,29,F1,33,2
10560,22.0,959,1.997916,36,C2,33,2
11520,24.0,2399,4.997916,86,D6,33,1
11520,24.0,2879,5.997916,91,G6,33,1
11520,24.0,2879,5.997916,98,D7,33,1
11520,24.0,2879,5.997916,28,E1,33,2
11520,24.0,2879,5.997916,35,B1,33,2
11520,24.0,2879,5.997916,40,E2,33,2
12000,25.0,479,0.997916,62,D4,33,1
12000,25.0,479,0.997916,67,G4,33,1
12000,25.0,479,0.997916,74,D5,33,1
12000,25.0,479,0.997916,50,D3,33,2
12000,25.0,479,0.997916,55,G3,33,2
12480,26.0,479,0.997916,64,E4,33,1
12480,26.0,479,0.997916,69,A4,33,1
12480,26.0,479,0.997916,76,E5,33,1
12480,26.0,479,0.997916,52,E3,33,2
12480,26.0,479,0.997916,57,A3,33,2
12960,27.0,479,0.997916,71,B4,33,1
12960,27.0,479,0.997916,76,E5,33,1
12960,27.0,479,0.997916,83,B5,33,1
12960,27.0,479,0.997916,59,B3,33,2
12960,27.0,479,0.997916,64,E4,33,2
13440,28.0,479,0.997916,74,D5,33,1
13440,28.0,479,0.997916,79,G5,33,1
13440,28.0,479,0.997916,86,D6,33,1
13440,28.0,479,0.997916,62,D4,33,2
13440,28.0,479,0.997916,67,G4,33,2
13920,29.0,959,1.997916,76,E5,33,1
13920,29.0,959,1.997916,88,E6,33,1
13920,29.0,959,1.997916,64,E4,33,2
