start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,3839,3.199166,56,G3#,112,2
0,0.0,3839,3.199166,44,G2#,112,2
3840,3.2,159,0.1325,37,C2#,80,2
3840,3.2,159,0.1325,49,C3#,80,2
4000,3.333333,159,0.1325,56,G3#,80,2
4160,3.466666,159,0.1325,61,C4#,80,2
4320,3.6,159,0.1325,64,E4,80,2
4480,3.733333,159,0.1325,61,C4#,80,2
4640,3.866666,159,0.1325,56,G3#,80,2
4800,4.0,159,0.1325,49,C3#,80,2
4960,4.133333,159,0.1325,56,G3#,80,2
5120,4.266666,159,0.1325,61,C4#,80,2
5280,4.4,159,0.1325,64,E4,80,2
5440,4.533333,159,0.1325,61,C4#,80,2
5600,4.666666,159,0.1325,56,G3#,80,2
5760,4.8,159,0.1325,49,C3#,64,2
5920,4.933333,159,0.1325,56,G3#,64,2
6080,5.066666,159,0.1325,61,C4#,64,2
6240,5.2,159,0.1325,64,E4,64,2
6400,5.333333,159,0.1325,61,C4#,64,2
6560,5.466666,159,0.1325,56,G3#,64,2
6720,5.6,159,0.1325,49,C3#,64,2
6880,5.733333,159,0.1325,56,G3#,64,2
7040,5.866666,159,0.1325,61,C4#,64,2
7200,6.0,159,0.1325,64,E4,64,2
7360,6.133333,159,0.1325,61,C4#,64,2
7520,6.266666,159,0.1325,56,G3#,64,2
7680,6.4,159,0.1325,49,C3#,49,2
7800,6.5,119,0.099166,68,G4#,49,1
7840,6.533333,159,0.1325,56,G3#,49,2
7920,6.6,119,0.099166,69,A4,49,1
8000,6.666666,159,0.1325,61,C4#,49,2
8040,6.7,119,0.099166,68,G4#,49,1
8160,6.8,119,0.099166,67,G4,49,1
8160,6.8,159,0.1325,64,E4,49,2
8280,6.9,119,0.099166,68,G4#,49,1
8320,6.933333,159,0.1325,61,C4#,49,2
8400,7.0,119,0.099166,73,C5#,49,1
8480,7.066666,159,0.1325,56,G3#,49,2
8520,7.1,119,0.099166,76,E5,49,1
8640,7.2,119,0.099166,75,D5#,49,1
8640,7.2,159,0.1325,52,E3,49,2
8760,7.3,119,0.099166,73,C5#,49,1
8800,7.333333,159,0.1325,56,G3#,49,2
8880,7.4,119,0.099166,75,D5#,49,1
8960,7.466666,159,0.1325,61,C4#,49,2
9000,7.5,119,0.099166,73,C5#,49,1
9120,7.6,119,0.099166,72,C5,49,1
9120,7.6,159,0.1325,64,E4,49,2
9240,7.7,119,0.099166,73,C5#,49,1
9280,7.733333,159,0.1325,61,C4#,49,2
9360,7.8,119,0.099166,76,E5,49,1
9440,7.866666,159,0.1325,56,G3#,49,2
9480,7.9,119,0.099166,80,G5#,49,1
9600,8.0,159,0.1325,49,C3#,49,2
9720,8.1,119,0.099166,68,G4#,49,1
9760,8.133333,159,0.1325,56,G3#,49,2
9840,8.2,119,0.099166,69,A4,49,1
9920,8.266666,159,0.1325,61,C4#,49,2
9960,8.3,119,0.099166,68,G4#,49,1
10080,8.4,119,0.099166,67,G4,49,1
10080,8.4,159,0.1325,64,E4,49,2
10200,8.5,119,0.099166,68,G4#,49,1
10240,8.533333,159,0.1325,61,C4#,49,2
10320,8.6,119,0.099166,73,C5#,49,1
10400,8.666666,159,0.1325,56,G3#,49,2
10440,8.7,119,0.099166,76,E5,49,1
10560,8.8,119,0.099166,75,D5#,49,1
10560,8.8,159,0.1325,52,E3,49,2
10680,8.9,119,0.099166,73,C5#,49,1
10720,8.933333,159,0.1325,56,G3#,49,2
10800,9.0,119,0.099166,75,D5#,49,1
10880,9.066666,159,0.1325,61,C4#,49,2
10920,9.1,119,0.099166,73,C5#,49,1
11040,9.2,119,0.099166,72,C5,49,1
11040,9.2,159,0.1325,64,E4,49,2
11160,9.3,119,0.099166,73,C5#,49,1
11200,9.333333,159,0.1325,61,C4#,49,2
11280,9.4,119,0.099166,76,E5,49,1
11360,9.466666,159,0.1325,56,G3#,49,2
11400,9.5,119,0.099166,80,G5#,49,1
11520,9.6,159,0.1325,51,D3#,64,2
11640,9.7,119,0.099166,69,A4,64,1
11680,9.733333,159,0.1325,57,A3,64,2
11760,9.8,119,0.099166,73,C5#,64,1
11840,9.866666,159,0.1325,61,C4#,64,2
11880,9.9,119,0.099166,75,D5#,64,1
12000,10.0,119,0.099166,78,F5#,64,1
12000,10.0,159,0.1325,66,F4#,64,2
12120,10.1,119,0.099166,81,A5,64,1
12160,10.133333,159,0.1325,61,C4#,64,2
12240,10.2,119,0.099166,85,C6#,64,1
12320,10.266666,159,0.1325,57,A3,64,2
12360,10.3,119,0.099166,87,D6#,64,1
12480,10.4,119,0.099166,95,B6,64,1
12480,10.4,159,0.1325,54,F3#,64,2
12600,10.5,119,0.099166,93,A6,64,1
12640,10.533333,159,0.1325,61,C4#,64,2
12720,10.6,119,0.099166,92,G6#,64,1
12800,10.666666,159,0.1325,63,D4#,64,2
12840,10.7,119,0.099166,90,F6#,64,1
12960,10.8,119,0.099166,88,E6,80,1
12960,10.8,159,0.1325,69,A4,80,2
13080,10.9,119,0.099166,87,D6#,80,1
13120,10.933333,159,0.1325,63,D4#,80,2
13200,11.0,119,0.099166,90,F6#,80,1
13280,11.066666,159,0.1325,61,C4#,80,2
13320,11.1,119,0.099166,85,C6#,80,1
13440,11.2,119,0.099166,84,C6,80,1
13440,11.2,159,0.1325,42,F2#,80,2
13560,11.3,119,0.099166,87,D6#,80,1
13600,11.333333,159,0.1325,51,D3#,80,2
13680,11.4,119,0.099166,81,A5,80,1
13760,11.466666,159,0.1325,54,F3#,80,2
13800,11.5,119,0.099166,80,G5#,80,1
13920,11.6,119,0.099166,78,F5#,80,1
13920,11.6,159,0.1325,60,C4,80,2
14040,11.7,119,0.099166,81,A5,80,1
14080,11.733333,159,0.1325,54,F3#,80,2
14160,11.8,119,0.099166,76,E5,80,1
14240,11.866666,159,0.1325,51,D3#,80,2
14280,11.9,119,0.099166,75,D5#,80,1
14400,12.0,119,0.099166,78,F5#,64,1
14400,12.0,159,0.1325,44,G2#,64,2
14520,12.1,119,0.099166,73,C5#,64,1
14560,12.133333,159,0.1325,51,D3#,64,2
14640,12.2,119,0.099166,72,C5,64,1
14720,12.266666,159,0.1325,54,F3#,64,2
14760,12.3,119,0.099166,75,D5#,64,1
14880,12.4,119,0.099166,69,A4,64,1
14880,12.4,159,0.1325,60,C4,64,2
15000,12.5,119,0.099166,68,G4#,64,1
15040,12.533333,159,0.1325,54,F3#,64,2
15120,12.6,119,0.099166,71,B4,64,1
15200,12.666666,159,0.1325,51,D3#,64,2
15240,12.7,239,0.199166,69,A4,64,1
15360,12.8,159,0.1325,49,C3#,49,2
15480,12.9,119,0.099166,68,G4#,49,1
15520,12.933333,159,0.1325,56,G3#,49,2
15600,13.0,119,0.099166,69,A4,49,1
15680,13.066666,159,0.1325,61,C4#,49,2
15720,13.1,119,0.099166,68,G4#,49,1
15840,13.2,119,0.099166,67,G4,49,1
15840,13.2,159,0.1325,64,E4,49,2
15960,13.3,119,0.099166,68,G4#,49,1
16000,13.333333,159,0.1325,61,C4#,49,2
16080,13.4,119,0.099166,73,C5#,49,1
16160,13.466666,159,0.1325,56,G3#,49,2
16200,13.5,119,0.099166,76,E5,49,1
16320,13.6,119,0.099166,75,D5#,49,1
16320,13.6,159,0.1325,52,E3,49,2
16440,13.7,119,0.099166,73,C5#,49,1
16480,13.733333,159,0.1325,56,G3#,49,2
16560,13.8,119,0.099166,75,D5#,49,1
16640,13.866666,159,0.1325,61,C4#,49,2
16680,13.9,119,0.099166,73,C5#,49,1
16800,14.0,119,0.099166,72,C5,49,1
16800,14.0,159,0.1325,64,E4,49,2
16920,14.1,119,0.099166,73,C5#,49,1
16960,14.133333,159,0.1325,61,C4#,49,2
17040,14.2,119,0.099166,76,E5,49,1
17120,14.266666,159,0.1325,56,G3#,49,2
17160,14.3,119,0.099166,80,G5#,49,1
17280,14.4,159,0.1325,49,C3#,49,2
17400,14.5,119,0.099166,68,G4#,49,1
17440,14.533333,159,0.1325,56,G3#,49,2
17520,14.6,119,0.099166,70,A4#,49,1
17600,14.666666,159,0.1325,58,A3#,49,2
17640,14.7,119,0.099166,68,G4#,49,1
17760,14.8,119,0.099166,67,G4,49,1
17760,14.8,159,0.1325,64,E4,49,2
17880,14.9,119,0.099166,68,G4#,49,1
17920,14.933333,159,0.1325,58,A3#,49,2
18000,15.0,119,0.099166,73,C5#,49,1
18080,15.066666,159,0.1325,56,G3#,49,2
18120,15.1,119,0.099166,76,E5,49,1
18240,15.2,119,0.099166,75,D5#,49,1
18240,15.2,159,0.1325,52,E3,49,2
18360,15.3,119,0.099166,73,C5#,49,1
18400,15.333333,159,0.1325,56,G3#,49,2
18480,15.4,119,0.099166,75,D5#,49,1
18560,15.466666,159,0.1325,58,A3#,49,2
18600,15.5,119,0.099166,73,C5#,49,1
18720,15.6,119,0.099166,72,C5,49,1
18720,15.6,159,0.1325,61,C4#,49,2
18840,15.7,119,0.099166,73,C5#,49,1
18880,15.733333,159,0.1325,58,A3#,49,2
18960,15.8,119,0.099166,76,E5,49,1
19040,15.866666,159,0.1325,56,G3#,49,2
19080,15.9,119,0.099166,80,G5#,49,1
19200,16.0,119,0.099166,75,D5#,64,1
19200,16.0,159,0.1325,51,D3#,64,2
19320,16.1,119,0.099166,76,E5,64,1
19360,16.133333,159,0.1325,56,G3#,64,2
19440,16.2,119,0.099166,75,D5#,64,1
19520,16.266666,159,0.1325,59,B3,64,2
19560,16.3,119,0.099166,74,D5,64,1
19680,16.4,119,0.099166,75,D5#,64,1
19680,16.4,159,0.1325,63,D4#,64,2
19800,16.5,119,0.099166,83,B5,64,1
19840,16.533333,159,0.1325,59,B3,64,2
19920,16.6,119,0.099166,82,A5#,64,1
20000,16.666666,159,0.1325,56,G3#,64,2
20040,16.7,119,0.099166,80,G5#,64,1
20160,16.8,119,0.099166,79,G5,80,1
20160,16.8,159,0.1325,51,D3#,80,2
20280,16.9,119,0.099166,88,E6,80,1
20320,16.933333,159,0.1325,58,A3#,80,2
20400,17.0,119,0.099166,87,D6#,80,1
20480,17.066666,159,0.1325,61,C4#,80,2
20520,17.1,119,0.099166,85,C6#,80,1
20640,17.2,119,0.099166,83,B5,80,1
20640,17.2,159,0.1325,67,G4,80,2
20760,17.3,119,0.099166,82,A5#,80,1
20800,17.333333,159,0.1325,61,C4#,80,2
20880,17.4,119,0.099166,80,G5#,80,1
20960,17.466666,159,0.1325,58,A3#,80,2
21000,17.5,119,0.099166,79,G5,80,1
21120,17.6,119,0.099166,82,A5#,64,1
21120,17.6,159,0.1325,44,G2#,64,2
21240,17.7,119,0.099166,80,G5#,64,1
21280,17.733333,159,0.1325,51,D3#,64,2
21360,17.8,119,0.099166,83,B5,64,1
21440,17.866666,159,0.1325,56,G3#,64,2
21480,17.9,119,0.099166,74,D5,64,1
21600,18.0,119,0.099166,76,E5,49,1
21600,18.0,159,0.1325,59,B3,49,2
21720,18.1,119,0.099166,75,D5#,49,1
21760,18.133333,159,0.1325,56,G3#,49,2
21840,18.2,119,0.099166,80,G5#,49,1
21920,18.266666,159,0.1325,51,D3#,49,2
21960,18.3,119,0.099166,70,A4#,49,1
22080,18.4,119,0.099166,73,C5#,33,1
22080,18.4,159,0.1325,44,G2#,33,2
22200,18.5,119,0.099166,71,B4,33,1
22240,18.533333,159,0.1325,51,D3#,33,2
22320,18.6,119,0.099166,75,D5#,33,1
22400,18.666666,159,0.1325,56,G3#,33,2
22440,18.7,119,0.099166,67,G4,33,1
22560,18.8,119,0.099166,69,A4,16,1
22560,18.8,159,0.1325,59,B3,16,2
22680,18.9,119,0.099166,68,G4#,16,1
