start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,119,0.123958,71,B4,80,1
120,0.125,359,0.373958,71,B4,80,1
120,0.125,479,0.498958,55,G3,80,2
240,0.25,119,0.123958,59,B3,80,1
360,0.375,119,0.123958,62,D4,80,1
480,0.5,239,0.248958,67,G4,80,1
480,0.5,119,0.123958,72,C5,80,1
600,0.625,59,0.061458,74,D5,80,1
600,0.625,479,0.498958,57,A3,80,2
660,0.6875,59,0.061458,72,C5,80,1
720,0.75,119,0.123958,67,G4,80,1
720,0.75,59,0.061458,74,D5,80,1
780,0.8125,59,0.061458,72,C5,80,1
840,0.875,119,0.123958,66,F4#,80,1
840,0.875,59,0.061458,74,D5,80,1
900,0.9375,59,0.061458,72,C5,80,1
960,1.0,119,0.123958,64,E4,80,1
960,1.0,59,0.061458,71,B4,80,1
1020,1.0625,59,0.061458,72,C5,80,1
1080,1.125,599,0.623958,74,D5,80,1
1080,1.125,719,0.748958,59,B3,80,2
1200,1.25,119,0.123958,62,D4,80,1
1320,1.375,119,0.123958,66,F4#,80,1
1440,1.5,1319,1.373958,67,G4,80,1
1560,1.625,239,0.248958,71,B4,80,1
1680,1.75,119,0.123958,74,D5,80,1
1800,1.875,119,0.123958,78,F5#,80,1
1800,1.875,239,0.248958,59,B3,80,2
1920,2.0,119,0.123958,79,G5,80,1
2040,2.125,119,0.123958,76,E5,80,1
2040,2.125,239,0.248958,60,C4,80,2
2160,2.25,119,0.123958,79,G5,80,1
2280,2.375,119,0.123958,74,D5,80,1
2280,2.375,239,0.248958,59,B3,80,2
2400,2.5,119,0.123958,79,G5,80,1
2520,2.625,119,0.123958,72,C5,80,1
2520,2.625,479,0.498958,57,A3,80,2
2640,2.75,119,0.123958,71,B4,80,1
2760,2.875,239,0.248958,66,F4#,80,1
2760,2.875,119,0.123958,72,C5,80,1
2880,3.0,119,0.123958,81,A5,80,1
3000,3.125,119,0.123958,72,C5,80,1
3000,3.125,479,0.498958,55,G3,80,2
3120,3.25,119,0.123958,71,B4,80,1
3240,3.375,239,0.248958,59,B3,80,1
3240,3.375,119,0.123958,69,A4,80,1
3360,3.5,119,0.123958,67,G4,80,1
3480,3.625,239,0.248958,62,D4,80,1
3480,3.625,599,0.623958,71,B4,80,1
3600,3.75,119,0.123958,54,F3#,80,2
3720,3.875,239,0.248958,67,G4,80,1
3720,3.875,119,0.123958,52,E3,80,2
3840,4.0,119,0.123958,50,D3,80,2
3960,4.125,239,0.248958,64,E4,80,1
3960,4.125,719,0.748958,49,C3#,80,2
4080,4.25,119,0.123958,76,E5,80,1
4200,4.375,239,0.248958,52,E3,80,1
4200,4.375,119,0.123958,69,A4,80,1
4320,4.5,119,0.123958,76,E5,80,1
4440,4.625,479,0.498958,57,A3,80,1
4440,4.625,119,0.123958,67,G4,80,1
4560,4.75,119,0.123958,66,F4#,80,1
4680,4.875,119,0.123958,67,G4,80,1
4680,4.875,239,0.248958,49,C3#,80,2
4800,5.0,119,0.123958,76,E5,80,1
4920,5.125,119,0.123958,67,G4,80,1
4920,5.125,719,0.748958,50,D3,80,2
5040,5.25,119,0.123958,66,F4#,80,1
5160,5.375,239,0.248958,54,F3#,80,1
5160,5.375,119,0.123958,64,E4,80,1
5280,5.5,119,0.123958,62,D4,80,1
5400,5.625,479,0.498958,57,A3,80,1
5400,5.625,119,0.123958,64,E4,80,1
5520,5.75,119,0.123958,66,F4#,80,1
5640,5.875,119,0.123958,67,G4,80,1
5640,5.875,239,0.248958,48,C3,80,2
5760,6.0,119,0.123958,66,F4#,80,1
5880,6.125,239,0.248958,50,D3,80,1
5880,6.125,119,0.123958,67,G4,80,1
5880,6.125,479,0.498958,47,B2,80,2
6000,6.25,119,0.123958,69,A4,80,1
6120,6.375,479,0.498958,55,G3,80,1
6120,6.375,119,0.123958,67,G4,80,1
6240,6.5,119,0.123958,69,A4,80,1
6360,6.625,59,0.061458,71,B4,80,1
6360,6.625,479,0.498958,45,A2,80,2
6420,6.6875,59,0.061458,71,B4,80,1
6480,6.75,59,0.061458,69,A4,80,1
6540,6.8125,59,0.061458,71,B4,80,1
6600,6.875,239,0.248958,54,F3#,80,1
6600,6.875,59,0.061458,71,B4,80,1
6660,6.9375,59,0.061458,69,A4,80,1
6720,7.0,59,0.061458,67,G4,80,1
6780,7.0625,59,0.061458,69,A4,80,1
6840,7.125,479,0.498958,55,G3,80,1
6840,7.125,599,0.623958,71,B4,80,1
6960,7.25,119,0.123958,43,G2,80,2
7080,7.375,119,0.123958,47,B2,80,2
7200,7.5,119,0.123958,50,D3,80,2
7320,7.625,239,0.248958,55,G3,80,2
7440,7.75,119,0.123958,71,B4,80,1
7560,7.875,119,0.123958,76,E5,80,1
7560,7.875,119,0.123958,57,A3,80,2
7680,8.0,119,0.123958,75,D5#,80,1
7680,8.0,119,0.123958,59,B3,80,2
7800,8.125,119,0.123958,76,E5,80,1
7800,8.125,239,0.248958,60,C4,80,2
7920,8.25,119,0.123958,78,F5#,80,1
8040,8.375,479,0.498958,64,E4,80,1
8040,8.375,119,0.123958,76,E5,80,1
