start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,1439,2.366771,43,G2,33,2
480,0.789472,959,1.577299,66,F4#,33,1
480,0.789472,959,1.577299,62,D4,33,1
480,0.789472,959,1.577299,59,B3,33,1
1440,2.368416,1439,2.366771,38,D2,33,2
1920,3.157888,959,1.577299,66,F4#,33,1
1920,3.157888,959,1.577299,61,C4#,33,1
1920,3.157888,959,1.577299,57,A3,33,1
2880,4.736832,1439,2.366771,43,G2,33,2
3360,5.526304,959,1.577299,66,F4#,33,1
3360,5.526304,959,1.577299,62,D4,33,1
3360,5.526304,959,1.577299,59,B3,33,1
4320,7.105248,1439,2.366771,38,D2,33,2
4800,7.89472,959,1.577299,66,F4#,33,1
4800,7.89472,959,1.577299,61,C4#,33,1
4800,7.89472,959,1.577299,57,A3,33,1
5760,9.473664,1439,2.366771,43,G2,33,2
6240,10.263136,479,0.787827,78,F5#,33,1
6240,10.263136,959,1.577299,66,F4#,33,1
6240,10.263136,959,1.577299,62,D4,33,1
6240,10.263136,959,1.577299,59,B3,33,1
6720,11.052608,479,0.787827,81,A5,33,1
7200,11.84208,479,0.787827,79,G5,33,1
7200,11.84208,1439,2.366771,38,D2,33,2
7680,12.631552,479,0.787827,78,F5#,33,1
7680,12.631552,959,1.577299,66,F4#,33,1
7680,12.631552,959,1.577299,61,C4#,33,1
7680,12.631552,959,1.577299,57,A3,33,1
8160,13.421024,479,0.787827,73,C5#,33,1
8640,14.210496,479,0.787827,71,B4,33,1
8640,14.210496,1439,2.366771,43,G2,33,2
9120,14.999968,479,0.787827,73,C5#,33,1
9120,14.999968,959,1.577299,66,F4#,33,1
9120,14.999968,959,1.577299,62,D4,33,1
9120,14.999968,959,1.577299,59,B3,33,1
9600,15.78944,479,0.787827,74,D5,33,1
10080,16.578912,1439,2.366771,69,A4,33,1
10080,16.578912,1439,2.366771,38,D2,33,2
10560,17.368384,959,1.577299,66,F4#,33,1
10560,17.368384,959,1.577299,61,C4#,33,1
10560,17.368384,959,1.577299,57,A3,33,1
11520,18.947328,1439,2.366771,66,F4#,33,1
11520,18.947328,1439,2.366771,43,G2,33,2
12000,19.7368,959,1.577299,66,F4#,33,1
12000,19.7368,959,1.577299,62,D4,33,1
12000,19.7368,959,1.577299,59,B3,33,1
12960,21.315744,1439,2.366771,38,D2,33,2
13440,22.105216,959,1.577299,66,F4#,33,1
13440,22.105216,959,1.577299,61,C4#,33,1
13440,22.105216,959,1.577299,57,A3,33,1
14400,23.68416,1439,2.366771,43,G2,33,2
14880,24.473632,959,1.577299,66,F4#,33,1
14880,24.473632,959,1.577299,62,D4,33,1
14880,24.473632,959,1.577299,59,B3,33,1
15840,26.052576,1439,2.366771,38,D2,33,2
16320,26.842048,959,1.577299,66,F4#,33,1
16320,26.842048,959,1.577299,61,C4#,33,1
16320,26.842048,959,1.577299,57,A3,33,1
17280,28.420992,1439,2.366771,43,G2,33,2
17760,29.210464,479,0.787827,78,F5#,33,1
17760,29.210464,959,1.577299,66,F4#,33,1
17760,29.210464,959,1.577299,62,D4,33,1
17760,29.210464,959,1.577299,59,B3,33,1
18240,29.999936,479,0.787827,81,A5,33,1
18720,30.789408,479,0.787827,79,G5,33,1
18720,30.789408,1439,2.366771,38,D2,33,2
19200,31.57888,479,0.787827,78,F5#,33,1
19200,31.57888,959,1.577299,66,F4#,33,1
19200,31.57888,959,1.577299,61,C4#,33,1
19200,31.57888,959,1.577299,57,A3,33,1
19680,32.368352,479,0.787827,73,C5#,33,1
20160,33.157824,479,0.787827,71,B4,33,1
20160,33.157824,1439,2.366771,43,G2,33,2
20640,33.947296,479,0.787827,73,C5#,33,1
20640,33.947296,959,1.577299,66,F4#,33,1
20640,33.947296,959,1.577299,62,D4,33,1
20640,33.947296,959,1.577299,59,B3,33,1
21120,34.736768,479,0.787827,74,D5,33,1
21600,35.52624,1439,2.366771,69,A4,33,1
21600,35.52624,1439,2.366771,38,D2,33,2
22080,36.315712,959,1.577299,66,F4#,33,1
22080,36.315712,959,1.577299,61,C4#,33,1
22080,36.315712,959,1.577299,57,A3,33,1
