start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
240,0.25,119,0.123958,65,F4,80,1
480,0.5,119,0.123958,69,A4,80,1
720,0.75,119,0.123958,65,F4,80,1
960,1.0,119,0.123958,72,C5,80,1
1200,1.25,119,0.123958,65,F4,80,1
1440,1.5,239,0.248958,77,F5,80,1
1680,1.75,119,0.123958,76,E5,80,1
1680,1.75,119,0.123958,53,F3,80,2
1800,1.875,119,0.123958,74,D5,80,1
1920,2.0,119,0.123958,72,C5,80,1
1920,2.0,119,0.123958,57,A3,80,2
2040,2.125,119,0.123958,74,D5,80,1
2160,2.25,119,0.123958,72,C5,80,1
2160,2.25,119,0.123958,53,F3,80,2
2280,2.375,119,0.123958,70,A4#,80,1
2400,2.5,119,0.123958,69,A4,80,1
2400,2.5,119,0.123958,60,C4,80,2
2520,2.625,119,0.123958,70,A4#,80,1
2640,2.75,119,0.123958,69,A4,80,1
2640,2.75,119,0.123958,53,F3,80,2
2760,2.875,119,0.123958,67,G4,80,1
2880,3.0,239,0.248958,65,F4,80,1
2880,3.0,239,0.248958,65,F4,80,2
3120,3.25,119,0.123958,69,A4,80,1
3120,3.25,119,0.123958,64,E4,80,2
3240,3.375,119,0.123958,62,D4,80,2
3360,3.5,119,0.123958,72,C5,80,1
3360,3.5,119,0.123958,60,C4,80,2
3480,3.625,119,0.123958,62,D4,80,2
3600,3.75,119,0.123958,69,A4,80,1
3600,3.75,119,0.123958,60,C4,80,2
3720,3.875,119,0.123958,58,A3#,80,2
3840,4.0,119,0.123958,77,F5,80,1
3840,4.0,119,0.123958,57,A3,80,2
3960,4.125,119,0.123958,58,A3#,80,2
4080,4.25,119,0.123958,72,C5,80,1
4080,4.25,119,0.123958,57,A3,80,2
4200,4.375,119,0.123958,55,G3,80,2
4320,4.5,119,0.123958,81,A5,80,1
4320,4.5,239,0.248958,53,F3,80,2
4440,4.625,119,0.123958,84,C6,80,1
4560,4.75,119,0.123958,82,A5#,80,1
4560,4.75,119,0.123958,57,A3,80,2
4680,4.875,119,0.123958,84,C6,80,1
4800,5.0,119,0.123958,81,A5,80,1
4800,5.0,119,0.123958,60,C4,80,2
4920,5.125,119,0.123958,84,C6,80,1
5040,5.25,119,0.123958,82,A5#,80,1
5040,5.25,119,0.123958,57,A3,80,2
5160,5.375,119,0.123958,84,C6,80,1
5280,5.5,119,0.123958,81,A5,80,1
5280,5.5,119,0.123958,65,F4,80,2
5400,5.625,119,0.123958,84,C6,80,1
5520,5.75,119,0.123958,82,A5#,80,1
5520,5.75,119,0.123958,60,C4,80,2
5640,5.875,119,0.123958,84,C6,80,1
5760,6.0,119,0.123958,77,F5,80,1
5760,6.0,119,0.123958,69,A4,80,2
5880,6.125,119,0.123958,81,A5,80,1
5880,6.125,119,0.123958,72,C5,80,2
6000,6.25,119,0.123958,79,G5,80,1
6000,6.25,119,0.123958,70,A4#,80,2
6120,6.375,119,0.123958,81,A5,80,1
6120,6.375,119,0.123958,72,C5,80,2
6240,6.5,119,0.123958,77,F5,80,1
6240,6.5,119,0.123958,69,A4,80,2
6360,6.625,119,0.123958,81,A5,80,1
6360,6.625,119,0.123958,72,C5,80,2
6480,6.75,119,0.123958,79,G5,80,1
6480,6.75,119,0.123958,70,A4#,80,2
6600,6.875,119,0.123958,81,A5,80,1
6600,6.875,119,0.123958,72,C5,80,2
6720,7.0,119,0.123958,77,F5,80,1
6720,7.0,119,0.123958,69,A4,80,2
6840,7.125,119,0.123958,81,A5,80,1
6840,7.125,119,0.123958,72,C5,80,2
6960,7.25,119,0.123958,79,G5,80,1
6960,7.25,119,0.123958,70,A4#,80,2
7080,7.375,119,0.123958,81,A5,80,1
7080,7.375,119,0.123958,72,C5,80,2
7200,7.5,119,0.123958,74,D5,80,1
7200,7.5,119,0.123958,65,F4,80,2
7320,7.625,119,0.123958,77,F5,80,1
7320,7.625,119,0.123958,69,A4,80,2
7440,7.75,119,0.123958,76,E5,80,1
7440,7.75,119,0.123958,67,G4,80,2
7560,7.875,119,0.123958,77,F5,80,1
7560,7.875,119,0.123958,69,A4,80,2
7680,8.0,119,0.123958,74,D5,80,1
7680,8.0,119,0.123958,65,F4,80,2
7800,8.125,119,0.123958,77,F5,80,1
7800,8.125,119,0.123958,69,A4,80,2
7920,8.25,119,0.123958,76,E5,80,1
7920,8.25,119,0.123958,67,G4,80,2
8040,8.375,119,0.123958,77,F5,80,1
8040,8.375,119,0.123958,69,A4,80,2
8160,8.5,119,0.123958,74,D5,80,1
8160,8.5,119,0.123958,65,F4,80,2
8280,8.625,119,0.123958,77,F5,80,1
8280,8.625,119,0.123958,69,A4,80,2
8400,8.75,119,0.123958,76,E5,80,1
8400,8.75,119,0.123958,67,G4,80,2
8520,8.875,119,0.123958,77,F5,80,1
8520,8.875,119,0.123958,69,A4,80,2
8640,9.0,239,0.248958,71,B4,80,1
8640,9.0,119,0.123958,62,D4,80,2
8760,9.125,119,0.123958,65,F4,80,2
8880,9.25,119,0.123958,67,G4,80,1
8880,9.25,119,0.123958,64,E4,80,2
9000,9.375,119,0.123958,65,F4,80,2
9120,9.5,119,0.123958,74,D5,80,1
9120,9.5,119,0.123958,62,D4,80,2
9240,9.625,119,0.123958,65,F4,80,2
9360,9.75,119,0.123958,71,B4,80,1
9360,9.75,119,0.123958,64,E4,80,2
9480,9.875,119,0.123958,65,F4,80,2
9600,10.0,119,0.123958,77,F5,80,1
9600,10.0,119,0.123958,62,D4,80,2
9720,10.125,119,0.123958,65,F4,80,2
9840,10.25,119,0.123958,74,D5,80,1
9840,10.25,119,0.123958,64,E4,80,2
9960,10.375,119,0.123958,65,F4,80,2
10080,10.5,119,0.123958,79,G5,80,1
10080,10.5,239,0.248958,59,B3,80,2
10200,10.625,119,0.123958,81,A5,80,1
10320,10.75,119,0.123958,79,G5,80,1
10320,10.75,119,0.123958,55,G3,80,2
10440,10.875,119,0.123958,77,F5,80,1
10560,11.0,119,0.123958,76,E5,80,1
10560,11.0,119,0.123958,60,C4,80,2
10680,11.125,119,0.123958,77,F5,80,1
10800,11.25,119,0.123958,76,E5,80,1
10800,11.25,119,0.123958,55,G3,80,2
10920,11.375,119,0.123958,74,D5,80,1
11040,11.5,119,0.123958,72,C5,80,1
11040,11.5,119,0.123958,64,E4,80,2
11160,11.625,119,0.123958,74,D5,80,1
11280,11.75,119,0.123958,72,C5,80,1
11280,11.75,119,0.123958,60,C4,80,2
11400,11.875,119,0.123958,70,A4#,80,1
11520,12.0,239,0.248958,69,A4,80,1
11520,12.0,119,0.123958,65,F4,80,2
11640,12.125,119,0.123958,67,G4,80,2
