start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,239,0.248958,57,A3,49,2
0,0.0,3839,3.998958,53,F3,49,2
240,0.25,239,0.248958,60,C4,49,2
480,0.5,239,0.248958,57,A3,49,2
720,0.75,239,0.248958,60,C4,49,2
960,1.0,239,0.248958,57,A3,49,2
1200,1.25,239,0.248958,60,C4,49,2
1440,1.5,239,0.248958,57,A3,49,2
1680,1.75,227,0.236458,60,C4,49,2
1920,2.0,239,0.248958,57,A3,49,2
2160,2.25,239,0.248958,60,C4,49,2
2400,2.5,239,0.248958,57,A3,49,2
2640,2.75,239,0.248958,60,C4,49,2
2880,3.0,239,0.248958,57,A3,49,2
3120,3.25,239,0.248958,60,C4,49,2
3360,3.5,239,0.248958,57,A3,49,2
3600,3.75,227,0.236458,60,C4,49,2
3840,4.0,3647,3.798958,36,C2,49,1
3840,4.0,239,0.248958,57,A3,49,2
3840,4.0,3839,3.998958,52,E3,49,2
4080,4.25,239,0.248958,60,C4,49,2
4320,4.5,239,0.248958,57,A3,49,2
4560,4.75,239,0.248958,60,C4,49,2
4800,5.0,239,0.248958,57,A3,49,2
5040,5.25,239,0.248958,60,C4,49,2
5280,5.5,239,0.248958,57,A3,49,2
5520,5.75,227,0.236458,60,C4,49,2
5760,6.0,239,0.248958,57,A3,49,2
6000,6.25,239,0.248958,60,C4,49,2
6240,6.5,239,0.248958,57,A3,49,2
6480,6.75,239,0.248958,60,C4,49,2
6720,7.0,239,0.248958,57,A3,49,2
6960,7.25,239,0.248958,60,C4,49,2
7200,7.5,239,0.248958,57,A3,49,2
7440,7.75,227,0.236458,60,C4,49,2
7680,8.0,159,0.165625,72,C5,64,1
7680,8.0,239,0.248958,57,A3,64,2
7680,8.0,3839,3.998958,53,F3,64,2
7840,8.166666,159,0.165625,69,A4,64,1
7920,8.25,239,0.248958,60,C4,64,2
8000,8.333333,159,0.165625,72,C5,64,1
8160,8.5,159,0.165625,69,A4,64,1
8160,8.5,239,0.248958,57,A3,64,2
8320,8.666666,159,0.165625,72,C5,64,1
8400,8.75,239,0.248958,60,C4,64,2
8480,8.833333,159,0.165625,69,A4,64,1
8640,9.0,159,0.165625,72,C5,64,1
8640,9.0,239,0.248958,57,A3,64,2
8800,9.166666,159,0.165625,69,A4,64,1
8880,9.25,239,0.248958,60,C4,64,2
8960,9.333333,159,0.165625,72,C5,64,1
9120,9.5,159,0.165625,69,A4,64,1
9120,9.5,239,0.248958,57,A3,64,2
9280,9.666666,159,0.165625,72,C5,64,1
9360,9.75,227,0.236458,60,C4,64,2
9440,9.833333,159,0.165625,69,A4,64,1
9600,10.0,159,0.165625,72,C5,64,1
9600,10.0,239,0.248958,57,A3,64,2
9760,10.166666,159,0.165625,69,A4,64,1
9840,10.25,239,0.248958,60,C4,64,2
9920,10.333333,159,0.165625,72,C5,64,1
10080,10.5,159,0.165625,69,A4,64,1
10080,10.5,239,0.248958,57,A3,64,2
10240,10.666666,159,0.165625,72,C5,64,1
10320,10.75,239,0.248958,60,C4,64,2
10400,10.833333,159,0.165625,69,A4,64,1
10560,11.0,159,0.165625,72,C5,64,1
10560,11.0,239,0.248958,57,A3,64,2
10720,11.166666,159,0.165625,69,A4,64,1
10800,11.25,239,0.248958,60,C4,64,2
10880,11.333333,159,0.165625,72,C5,64,1
11040,11.5,159,0.165625,69,A4,64,1
11040,11.5,239,0.248958,57,A3,64,2
11200,11.666666,159,0.165625,72,C5,64,1
11280,11.75,227,0.236458,60,C4,64,2
11360,11.833333,151,0.157292,69,A4,64,1
11520,12.0,159,0.165625,72,C5,64,1
11520,12.0,239,0.248958,57,A3,64,2
11520,12.0,3839,3.998958,52,E3,64,2
11680,12.166666,159,0.165625,64,E4,64,1
11760,12.25,239,0.248958,60,C4,64,2
11840,12.333333,159,0.165625,72,C5,64,1
12000,12.5,159,0.165625,64,E4,64,1
12000,12.5,239,0.248958,57,A3,64,2
12160,12.666666,159,0.165625,72,C5,64,1
12240,12.75,239,0.248958,60,C4,64,2
12320,12.833333,159,0.165625,64,E4,64,1
12480,13.0,159,0.165625,72,C5,64,1
12480,13.0,239,0.248958,57,A3,64,2
12640,13.166666,159,0.165625,64,E4,64,1
12720,13.25,239,0.248958,60,C4,64,2
12800,13.333333,159,0.165625,72,C5,64,1
12960,13.5,159,0.165625,64,E4,64,1
12960,13.5,239,0.248958,57,A3,64,2
13120,13.666666,159,0.165625,72,C5,64,1
13200,13.75,227,0.236458,60,C4,64,2
13280,13.833333,159,0.165625,64,E4,64,1
13440,14.0,159,0.165625,72,C5,64,1
13440,14.0,239,0.248958,57,A3,64,2
13600,14.166666,159,0.165625,64,E4,64,1
13680,14.25,239,0.248958,60,C4,64,2
