start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,151,0.419444,56,G3#,80,1
0,0.0,1823,5.063887,37,C2#,80,2
0,0.0,1823,5.063887,49,C3#,80,2
160,0.444444,151,0.419444,61,C4#,80,1
320,0.888888,151,0.419445,64,E4,80,1
480,1.333333,151,0.419444,56,G3#,80,1
640,1.777777,151,0.419444,61,C4#,80,1
800,2.222221,151,0.419445,64,E4,80,1
960,2.666666,151,0.419444,56,G3#,80,1
1120,3.11111,151,0.419444,61,C4#,80,1
1280,3.555554,151,0.419445,64,E4,80,1
1440,3.999999,151,0.419444,56,G3#,80,1
1600,4.444443,151,0.419444,61,C4#,80,1
1760,4.888887,151,0.419445,64,E4,80,1
1920,5.333332,151,0.419444,56,G3#,80,1
1920,5.333332,1823,5.063887,35,B1,80,2
1920,5.333332,1823,5.063887,47,B2,80,2
2080,5.777776,151,0.419444,61,C4#,80,1
2240,6.22222,151,0.419445,64,E4,80,1
2400,6.666665,151,0.419444,56,G3#,80,1
2560,7.111109,151,0.419444,61,C4#,80,1
2720,7.555553,151,0.419445,64,E4,80,1
2880,7.999998,151,0.419444,56,G3#,80,1
3040,8.444442,151,0.419444,61,C4#,80,1
3200,8.888886,151,0.419445,64,E4,80,1
3360,9.333331,151,0.419444,56,G3#,80,1
3520,9.777775,151,0.419444,61,C4#,80,1
3680,10.222219,151,0.419445,64,E4,80,1
3840,10.666664,151,0.419444,57,A3,80,1
3840,10.666664,911,2.530554,33,A1,80,2
3840,10.666664,911,2.530554,45,A2,80,2
4000,11.111108,151,0.419444,61,C4#,80,1
4160,11.555552,151,0.419445,64,E4,80,1
4320,11.999997,151,0.419444,57,A3,80,1
4480,12.444441,151,0.419444,61,C4#,80,1
4640,12.888885,151,0.419445,64,E4,80,1
4800,13.33333,151,0.419444,57,A3,80,1
4800,13.33333,911,2.530554,30,F1#,80,2
4800,13.33333,911,2.530554,42,F2#,80,2
4960,13.777774,151,0.419444,62,D4,80,1
5120,14.222218,151,0.419445,66,F4#,80,1
5280,14.666663,151,0.419444,57,A3,80,1
5440,15.111107,151,0.419444,62,D4,80,1
5600,15.555551,151,0.419445,66,F4#,80,1
5760,15.999996,151,0.419444,56,G3#,80,1
5760,15.999996,911,2.530554,32,G1#,80,2
5760,15.999996,911,2.530554,44,G2#,80,2
5920,16.44444,151,0.419444,60,C4,80,1
6080,16.888884,151,0.419445,66,F4#,80,1
6240,17.333329,151,0.419444,56,G3#,80,1
6400,17.777773,151,0.419444,61,C4#,80,1
6560,18.222217,151,0.419445,64,E4,80,1
6720,18.666662,151,0.419444,56,G3#,80,1
6720,18.666662,911,2.530554,32,G1#,80,2
6720,18.666662,911,2.530554,44,G2#,80,2
6880,19.111106,151,0.419444,61,C4#,80,1
7040,19.55555,151,0.419445,63,D4#,80,1
7200,19.999995,151,0.419444,54,F3#,80,1
7360,20.444439,151,0.419444,60,C4,80,1
7520,20.888883,151,0.419445,63,D4#,80,1
7680,21.333328,151,0.419444,52,E3,80,1
7680,21.333328,1823,5.063887,37,C2#,80,2
7680,21.333328,1823,5.063887,44,G2#,80,2
7680,21.333328,1823,5.063887,49,C3#,80,2
7840,21.777772,151,0.419444,56,G3#,80,1
8000,22.222216,151,0.419445,61,C4#,80,1
8160,22.666661,151,0.419444,56,G3#,80,1
8320,23.111105,151,0.419444,61,C4#,80,1
8480,23.555549,151,0.419445,64,E4,80,1
8640,23.999994,151,0.419444,56,G3#,80,1
8800,24.444438,151,0.419444,61,C4#,80,1
8960,24.888882,151,0.419445,64,E4,80,1
9120,25.333327,151,0.419444,56,G3#,80,1
9120,25.333327,341,0.947221,68,G4#,80,1
9280,25.777771,151,0.419444,61,C4#,80,1
9440,26.222215,151,0.419445,64,E4,80,1
9480,26.333326,113,0.313889,68,G4#,80,1
9600,26.66666,151,0.419444,56,G3#,80,1
9600,26.66666,1367,3.797221,68,G4#,80,1
9600,26.66666,1823,5.063887,36,C2,80,2
9600,26.66666,1823,5.063887,44,G2#,80,2
9600,26.66666,1823,5.063887,48,C3,80,2
9760,27.111104,151,0.419444,63,D4#,80,1
9920,27.555548,151,0.419445,66,F4#,80,1
10080,27.999993,151,0.419444,56,G3#,80,1
10240,28.444437,151,0.419444,63,D4#,80,1
10400,28.888881,151,0.419445,66,F4#,80,1
10560,29.333326,151,0.419444,56,G3#,80,1
10720,29.77777,151,0.419444,63,D4#,80,1
10880,30.222214,151,0.419445,66,F4#,80,1
11040,30.666659,151,0.419444,56,G3#,80,1
11040,30.666659,341,0.947221,68,G4#,80,1
11200,31.111103,151,0.419444,63,D4#,80,1
11360,31.555547,151,0.419445,66,F4#,80,1
11400,31.666658,113,0.313889,68,G4#,80,1
11520,31.999992,151,0.419444,56,G3#,80,1
11520,31.999992,911,2.530554,68,G4#,80,1
11520,31.999992,911,2.530554,37,C2#,80,2
11520,31.999992,911,2.530554,49,C3#,80,2
11680,32.444436,151,0.419444,61,C4#,80,1
11840,32.88888,151,0.419445,64,E4,80,1
12000,33.333325,151,0.419444,56,G3#,80,1
12160,33.777769,151,0.419444,61,C4#,80,1
12320,34.222213,151,0.419445,64,E4,80,1
12480,34.666658,151,0.419444,57,A3,80,1
12480,34.666658,911,2.530554,69,A4,80,1
12480,34.666658,911,2.530554,30,F1#,80,2
12480,34.666658,911,2.530554,42,F2#,80,2
12640,35.111102,151,0.419444,61,C4#,80,1
12800,35.555546,151,0.419445,66,F4#,80,1
12960,35.999991,151,0.419444,57,A3,80,1
13120,36.444435,151,0.419444,61,C4#,80,1
13280,36.888879,151,0.419445,66,F4#,80,1
13440,37.333324,151,0.419444,56,G3#,80,1
13440,37.333324,911,2.530554,68,G4#,80,1
13440,37.333324,911,2.530554,35,B1,80,2
13440,37.333324,911,2.530554,47,B2,80,2
13600,37.777768,151,0.419444,59,B3,80,1
13760,38.222212,151,0.419445,64,E4,80,1
13920,38.666657,151,0.419444,56,G3#,80,1
14080,39.111101,151,0.419444,59,B3,80,1
14240,39.555545,151,0.419445,64,E4,80,1
14400,39.99999,151,0.419444,57,A3,80,1
14400,39.99999,455,1.263888,66,F4#,80,1
14400,39.99999,911,2.530554,35,B1,80,2
14400,39.99999,911,2.530554,47,B2,80,2
14560,40.444434,151,0.419444,59,B3,80,1
14720,40.888878,151,0.419445,63,D4#,80,1
14880,41.333323,151,0.419444,57,A3,80,1
14880,41.333323,455,1.263888,71,B4,80,1
15040,41.777767,151,0.419444,59,B3,80,1
15200,42.222211,151,0.419445,63,D4#,80,1
15360,42.666656,151,0.419444,56,G3#,80,1
15360,42.666656,455,1.263888,64,E4,80,1
15360,42.666656,1823,5.063887,40,E2,80,2
15360,42.666656,1823,5.063887,52,E3,80,2
15520,43.1111,151,0.419444,59,B3,80,1
15680,43.555544,135,0.375,64,E4,80,1
15840,43.999989,151,0.419444,56,G3#,80,1
16000,44.444433,151,0.419444,59,B3,80,1
16160,44.888877,151,0.419445,64,E4,80,1
16320,45.333322,151,0.419444,56,G3#,80,1
16480,45.777766,151,0.419444,59,B3,80,1
16640,46.22221,151,0.419445,64,E4,80,1
16800,46.666655,151,0.419444,56,G3#,80,1
16960,47.111099,151,0.419444,59,B3,80,1
17120,47.555543,151,0.419445,64,E4,80,1
17280,47.999988,151,0.419444,55,G3,80,1
17280,47.999988,1823,5.063887,40,E2,80,2
17280,47.999988,1823,5.063887,52,E3,80,2
17440,48.444432,151,0.419444,59,B3,80,1
17600,48.888876,151,0.419445,64,E4,80,1
17760,49.333321,151,0.419444,55,G3,80,1
17920,49.777765,151,0.419444,59,B3,80,1
18080,50.222209,151,0.419445,64,E4,80,1
18240,50.666654,151,0.419444,55,G3,80,1
18400,51.111098,151,0.419444,59,B3,80,1
18560,51.555542,151,0.419445,64,E4,80,1
18720,51.999987,151,0.419444,55,G3,80,1
18720,51.999987,341,0.947221,67,G4,80,1
