start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,959,0.887962,72,C5,49,1
0,0.0,239,0.221296,60,C4,49,2
240,0.222222,239,0.221296,67,G4,49,2
480,0.444444,239,0.221296,64,E4,49,2
720,0.666666,239,0.221296,67,G4,49,2
960,0.888888,455,0.421295,76,E5,49,1
960,0.888888,239,0.221296,60,C4,49,2
1200,1.11111,239,0.221296,67,G4,49,2
1440,1.333332,455,0.421295,79,G5,49,1
1440,1.333332,239,0.221296,64,E4,49,2
1680,1.555554,239,0.221296,67,G4,49,2
1920,1.777776,719,0.66574,71,B4,49,1
1920,1.777776,239,0.221296,62,D4,49,2
2160,1.999998,239,0.221296,67,G4,49,2
2400,2.22222,239,0.221296,65,F4,49,2
2640,2.444442,119,0.110185,72,C5,49,1
2640,2.444442,239,0.221296,67,G4,49,2
2760,2.555553,119,0.110185,74,D5,49,1
2880,2.666664,911,0.843517,72,C5,49,1
2880,2.666664,239,0.221296,60,C4,49,2
3120,2.888886,239,0.221296,67,G4,49,2
3360,3.111108,239,0.221296,64,E4,49,2
3600,3.33333,239,0.221296,67,G4,49,2
3840,3.555552,959,0.887962,81,A5,49,1
3840,3.555552,239,0.221296,60,C4,49,2
4080,3.777774,239,0.221296,69,A4,49,2
4320,3.999996,239,0.221296,65,F4,49,2
4560,4.222218,239,0.221296,69,A4,49,2
4800,4.44444,455,0.421295,79,G5,49,1
4800,4.44444,239,0.221296,60,C4,49,2
5040,4.666662,239,0.221296,67,G4,49,2
5280,4.888884,455,0.421295,84,C6,49,1
5280,4.888884,239,0.221296,64,E4,49,2
5520,5.111106,239,0.221296,67,G4,49,2
5760,5.333328,479,0.443518,79,G5,49,1
5760,5.333328,239,0.221296,59,B3,49,2
6000,5.55555,239,0.221296,67,G4,49,2
6240,5.777772,47,0.043518,77,F5,49,1
6240,5.777772,239,0.221296,62,D4,49,2
6288,5.822216,47,0.043518,79,G5,49,1
6336,5.86666,47,0.043519,77,F5,49,1
6384,5.911105,47,0.043518,79,G5,49,1
6432,5.955549,47,0.043519,77,F5,49,1
6480,5.999994,119,0.110185,76,E5,49,1
6480,5.999994,239,0.221296,67,G4,49,2
6600,6.111105,119,0.110185,77,F5,49,1
6720,6.222216,455,0.421295,76,E5,49,1
6720,6.222216,239,0.221296,60,C4,49,2
6960,6.444438,239,0.221296,67,G4,49,2
7200,6.66666,239,0.221296,64,E4,49,2
7440,6.888882,239,0.221296,67,G4,49,2
7680,7.111104,239,0.221296,69,A4,49,1
7680,7.111104,455,0.421295,65,F4,49,2
7920,7.333326,119,0.110185,71,B4,49,1
8040,7.444437,119,0.110185,72,C5,49,1
8160,7.555548,119,0.110185,74,D5,49,1
8280,7.666659,119,0.110185,76,E5,49,1
8400,7.77777,119,0.110185,77,F5,49,1
8520,7.888881,119,0.110185,79,G5,49,1
8640,7.999992,119,0.110185,81,A5,49,1
8760,8.111103,119,0.110185,79,G5,49,1
8880,8.222214,119,0.110185,77,F5,49,1
9000,8.333325,119,0.110185,76,E5,49,1
9120,8.444436,119,0.110185,74,D5,49,1
9120,8.444436,455,0.421295,53,F3,49,2
9120,8.444436,455,0.421295,60,C4,49,2
9240,8.555547,119,0.110185,72,C5,49,1
9360,8.666658,119,0.110185,71,B4,49,1
9480,8.777769,119,0.110185,69,A4,49,1
9600,8.88888,239,0.221296,67,G4,49,1
9600,8.88888,455,0.421295,52,E3,49,2
9600,8.88888,455,0.421295,60,C4,49,2
9840,9.111102,119,0.110185,69,A4,49,1
9960,9.222213,119,0.110185,71,B4,49,1
10080,9.333324,119,0.110185,72,C5,49,1
10200,9.444435,119,0.110185,74,D5,49,1
10320,9.555546,119,0.110185,76,E5,49,1
10440,9.666657,119,0.110185,77,F5,49,1
10560,9.777768,119,0.110185,79,G5,49,1
10680,9.888879,119,0.110185,77,F5,49,1
10800,9.99999,119,0.110185,76,E5,49,1
10920,10.111101,119,0.110185,74,D5,49,1
11040,10.222212,119,0.110185,72,C5,49,1
11040,10.222212,455,0.421295,52,E3,49,2
11040,10.222212,455,0.421295,60,C4,49,2
11160,10.333323,119,0.110185,71,B4,49,1
11280,10.444434,119,0.110185,69,A4,49,1
11400,10.555545,119,0.110185,67,G4,49,1
11520,10.666656,239,0.221296,65,F4,49,1
11520,10.666656,455,0.421295,50,D3,49,2
11520,10.666656,455,0.421295,60,C4,49,2
11760,10.888878,119,0.110185,67,G4,49,1
11880,10.999989,119,0.110185,69,A4,49,1
12000,11.1111,119,0.110185,71,B4,49,1
12120,11.222211,119,0.110185,72,C5,49,1
12240,11.333322,119,0.110185,74,D5,49,1
12360,11.444433,119,0.110185,76,E5,49,1
12480,11.555544,119,0.110185,77,F5,49,1
12600,11.666655,119,0.110185,76,E5,49,1
12720,11.777766,119,0.110185,74,D5,49,1
12840,11.888877,119,0.110185,72,C5,49,1
12960,11.999988,119,0.110185,71,B4,49,1
12960,11.999988,455,0.421295,50,D3,49,2
12960,11.999988,455,0.421295,59,B3,49,2
13080,12.111099,119,0.110185,69,A4,49,1
13200,12.22221,119,0.110185,67,G4,49,1
13320,12.333321,119,0.110185,65,F4,49,1
13440,12.444432,239,0.221296,64,E4,49,1
13440,12.444432,455,0.421295,48,C3,49,2
13440,12.444432,455,0.421295,60,C4,49,2
13680,12.666654,119,0.110185,65,F4,49,1
13800,12.777765,119,0.110185,67,G4,49,1
13920,12.888876,119,0.110185,69,A4,49,1
14040,12.999987,119,0.110185,71,B4,49,1
14160,13.111098,119,0.110185,72,C5,49,1
14280,13.222209,119,0.110185,74,D5,49,1
14400,13.33332,119,0.110185,76,E5,49,1
14520,13.444431,119,0.110185,74,D5,49,1
14640,13.555542,119,0.110185,72,C5,49,1
