start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,119,0.156579,69,A4,96,1
0,0.0,119,0.156579,69,A4,80,1
0,0.0,119,0.156579,45,A2,80,2
0,0.0,119,0.156579,45,A2,96,2
120,0.157895,119,0.156579,59,B3,80,1
120,0.157895,119,0.156579,52,E3,80,2
240,0.31579,119,0.156579,60,C4,80,1
240,0.31579,119,0.156579,57,A3,80,2
360,0.473685,119,0.156579,64,E4,80,1
360,0.473685,119,0.156579,52,E3,80,2
480,0.63158,119,0.156579,69,A4,80,1
480,0.63158,119,0.156579,69,A4,80,1
480,0.63158,119,0.156579,57,A3,80,2
600,0.789475,119,0.156579,59,B3,80,1
600,0.789475,119,0.156579,52,E3,80,2
720,0.94737,119,0.156579,69,A4,80,1
720,0.94737,119,0.156579,69,A4,80,1
720,0.94737,119,0.156579,45,A2,80,2
720,0.94737,119,0.156579,45,A2,80,2
840,1.105265,119,0.156579,59,B3,80,1
840,1.105265,119,0.156579,52,E3,80,2
960,1.26316,119,0.156579,60,C4,80,1
960,1.26316,119,0.156579,57,A3,80,2
1080,1.421055,119,0.156579,64,E4,80,1
1080,1.421055,119,0.156579,52,E3,80,2
1200,1.57895,119,0.156579,71,B4,80,1
1200,1.57895,119,0.156579,71,B4,80,1
1200,1.57895,119,0.156579,57,A3,80,2
1320,1.736845,119,0.156579,59,B3,80,1
1320,1.736845,119,0.156579,52,E3,80,2
1440,1.89474,119,0.156579,69,A4,96,1
1440,1.89474,119,0.156579,69,A4,80,1
1440,1.89474,119,0.156579,45,A2,80,2
1440,1.89474,119,0.156579,45,A2,96,2
1560,2.052635,119,0.156579,59,B3,80,1
1560,2.052635,119,0.156579,52,E3,80,2
1680,2.21053,119,0.156579,60,C4,80,1
1680,2.21053,119,0.156579,57,A3,80,2
1800,2.368425,119,0.156579,64,E4,80,1
1800,2.368425,119,0.156579,52,E3,80,2
1920,2.52632,119,0.156579,67,G4,80,1
1920,2.52632,119,0.156579,67,G4,80,1
1920,2.52632,119,0.156579,57,A3,80,2
2040,2.684215,119,0.156579,59,B3,80,1
2040,2.684215,119,0.156579,52,E3,80,2
2160,2.84211,119,0.156579,64,E4,80,1
2160,2.84211,119,0.156579,64,E4,80,1
2160,2.84211,119,0.156579,45,A2,80,2
2160,2.84211,119,0.156579,45,A2,80,2
2280,3.000005,119,0.156579,59,B3,80,1
2280,3.000005,119,0.156579,52,E3,80,2
2400,3.1579,119,0.156579,60,C4,80,1
2400,3.1579,119,0.156579,57,A3,80,2
2520,3.315795,119,0.156579,59,B3,80,1
2520,3.315795,119,0.156579,52,E3,80,2
2640,3.47369,119,0.156579,60,C4,80,1
2640,3.47369,119,0.156579,57,A3,80,2
2760,3.631585,119,0.156579,59,B3,80,1
2760,3.631585,119,0.156579,52,E3,80,2
2880,3.78948,119,0.156579,72,C5,96,1
2880,3.78948,119,0.156579,72,C5,80,1
2880,3.78948,119,0.156579,41,F2,80,2
2880,3.78948,119,0.156579,41,F2,96,2
3000,3.947375,119,0.156579,64,E4,80,1
3000,3.947375,119,0.156579,48,C3,80,2
3120,4.10527,119,0.156579,65,F4,80,1
3120,4.10527,119,0.156579,53,F3,80,2
3240,4.263165,119,0.156579,69,A4,80,1
3240,4.263165,119,0.156579,48,C3,80,2
3360,4.42106,119,0.156579,72,C5,80,1
3360,4.42106,119,0.156579,72,C5,80,1
3360,4.42106,119,0.156579,53,F3,80,2
3480,4.578955,119,0.156579,64,E4,80,1
3480,4.578955,119,0.156579,48,C3,80,2
3600,4.73685,119,0.156579,72,C5,80,1
3600,4.73685,119,0.156579,72,C5,80,1
3600,4.73685,119,0.156579,41,F2,80,2
3600,4.73685,119,0.156579,41,F2,80,2
3720,4.894745,119,0.156579,64,E4,80,1
3720,4.894745,119,0.156579,48,C3,80,2
3840,5.05264,119,0.156579,65,F4,80,1
3840,5.05264,119,0.156579,53,F3,80,2
3960,5.210535,119,0.156579,69,A4,80,1
3960,5.210535,119,0.156579,48,C3,80,2
4080,5.36843,119,0.156579,76,E5,80,1
