start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,1199,2.882211,67,G4,49,1
0,0.0,119,0.286057,59,B3,49,1
240,0.576923,119,0.286057,62,D4,49,1
480,1.153846,119,0.286057,59,B3,49,1
480,1.153846,119,0.286057,43,G2,49,2
720,1.730769,119,0.286057,62,D4,49,1
960,2.307692,119,0.286057,59,B3,49,1
960,2.307692,119,0.286057,36,C2,49,2
1200,2.884615,239,0.574519,69,A4,49,1
1200,2.884615,119,0.286057,64,E4,49,1
1440,3.461538,239,0.574519,66,F4#,49,1
1440,3.461538,119,0.286057,59,B3,49,1
1440,3.461538,119,0.286057,52,E3,49,2
1680,4.038461,119,0.286057,64,E4,49,1
1920,4.615384,479,1.151442,62,D4,49,1
1920,4.615384,119,0.286057,54,F3#,49,1
1920,4.615384,239,0.574519,38,D2,49,2
2160,5.192307,119,0.286057,59,B3,49,1
2400,5.76923,239,0.574519,64,E4,49,1
2400,5.76923,119,0.286057,54,F3#,49,1
2400,5.76923,239,0.574519,47,B2,49,2
2640,6.346153,239,0.574519,66,F4#,49,1
2640,6.346153,119,0.286057,59,B3,49,1
2880,6.923076,239,0.574519,66,F4#,49,1
2880,6.923076,119,0.286057,55,G3,49,1
2880,6.923076,239,0.574519,40,E2,49,2
3120,7.499999,239,0.574519,64,E4,49,1
3120,7.499999,119,0.286057,59,B3,49,1
3360,8.076922,455,1.1375,64,E4,49,1
3360,8.076922,227,0.5675,55,G3,49,1
3360,8.076922,227,0.5675,50,D3,49,2
3600,8.676922,227,0.5675,59,B3,49,1
3840,9.276922,1199,2.775462,71,B4,49,1
3840,9.276922,239,0.55324,60,C4,49,1
4080,9.832477,239,0.553241,64,E4,49,1
4320,10.388033,239,0.55324,60,C4,49,1
4320,10.388033,239,0.55324,55,G3,49,2
4560,10.943588,239,0.553241,64,E4,49,1
4800,11.499144,239,0.55324,60,C4,49,1
4800,11.499144,239,0.55324,45,A2,49,2
5040,12.054699,239,0.553241,72,C5,49,1
5040,12.054699,239,0.553241,64,E4,49,1
5280,12.610255,239,0.55324,69,A4,49,1
5280,12.610255,239,0.55324,60,C4,49,1
5280,12.610255,239,0.55324,55,G3,49,2
5520,13.16581,239,0.553241,67,G4,49,1
5520,13.16581,239,0.553241,64,E4,49,1
5760,13.721366,479,1.108796,66,F4#,49,1
5760,13.721366,239,0.55324,60,C4,49,1
5760,13.721366,239,0.55324,50,D3,49,2
6000,14.276921,239,0.553241,62,D4,49,1
6240,14.832477,239,0.55324,67,G4,49,1
