start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,959,1.362213,60,C4,80,2
120,0.170454,839,1.191759,64,E4,80,2
240,0.340908,119,0.169034,67,G4,80,1
360,0.511362,119,0.169034,72,C5,80,1
480,0.681817,119,0.169033,76,E5,80,1
600,0.852271,119,0.169034,67,G4,80,1
720,1.022725,119,0.169034,72,C5,80,1
840,1.193179,119,0.169034,76,E5,80,1
960,1.363634,959,1.362213,60,C4,80,2
1080,1.534088,839,1.191759,64,E4,80,2
1200,1.704542,119,0.169034,67,G4,80,1
1320,1.874996,119,0.169034,72,C5,80,1
1440,2.045451,119,0.169033,76,E5,80,1
1560,2.215905,119,0.169034,67,G4,80,1
1680,2.386359,119,0.169034,72,C5,80,1
1800,2.556813,119,0.169034,76,E5,80,1
1920,2.727268,959,1.362213,60,C4,80,2
2040,2.897722,839,1.191759,62,D4,80,2
2160,3.068176,119,0.169034,69,A4,80,1
2280,3.23863,119,0.169034,74,D5,80,1
2400,3.409085,119,0.169033,77,F5,80,1
2520,3.579539,119,0.169034,69,A4,80,1
2640,3.749993,119,0.169034,74,D5,80,1
2760,3.920447,119,0.169034,77,F5,80,1
2880,4.090902,959,1.362213,60,C4,80,2
3000,4.261356,839,1.191759,62,D4,80,2
3120,4.43181,119,0.169034,69,A4,80,1
3240,4.602264,119,0.169034,74,D5,80,1
3360,4.772719,119,0.169033,77,F5,80,1
3480,4.943173,119,0.169034,69,A4,80,1
3600,5.113627,119,0.169034,74,D5,80,1
3720,5.284081,119,0.169034,77,F5,80,1
3840,5.454536,959,1.362213,59,B3,80,2
3960,5.62499,839,1.191759,62,D4,80,2
4080,5.795444,119,0.169034,67,G4,80,1
4200,5.965898,119,0.169034,74,D5,80,1
4320,6.136353,119,0.169033,77,F5,80,1
4440,6.306807,119,0.169034,67,G4,80,1
4560,6.477261,119,0.169034,74,D5,80,1
4680,6.647715,119,0.169034,77,F5,80,1
4800,6.81817,959,1.362213,59,B3,80,2
4920,6.988624,839,1.191759,62,D4,80,2
5040,7.159078,119,0.169034,67,G4,80,1
5160,7.329532,119,0.169034,74,D5,80,1
5280,7.499987,119,0.169033,77,F5,80,1
5400,7.670441,119,0.169034,67,G4,80,1
5520,7.840895,119,0.169034,74,D5,80,1
5640,8.011349,119,0.169034,77,F5,80,1
5760,8.181804,959,1.362213,60,C4,80,2
5880,8.352258,839,1.191759,64,E4,80,2
6000,8.522712,119,0.169034,67,G4,80,1
6120,8.693166,119,0.169034,72,C5,80,1
6240,8.863621,119,0.169033,76,E5,80,1
6360,9.034075,119,0.169034,67,G4,80,1
6480,9.204529,119,0.169034,72,C5,80,1
6600,9.374983,119,0.169034,76,E5,80,1
6720,9.545438,959,1.362213,60,C4,80,2
6840,9.715892,839,1.191759,64,E4,80,2
6960,9.886346,119,0.169034,67,G4,80,1
