start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,119,0.141666,39,D2#,127,2
0,0.0,119,0.141666,51,D3#,127,2
120,0.142857,159,0.189286,39,D2#,127,2
120,0.142857,159,0.189286,51,D3#,127,2
280,0.333333,151,0.179762,58,A3#,80,2
440,0.523809,151,0.179762,46,A2#,80,2
600,0.714286,151,0.179762,54,F3#,80,2
760,0.904762,151,0.179762,63,D4#,80,2
920,1.095238,151,0.179762,46,A2#,80,2
1080,1.285715,151,0.179762,39,D2#,80,2
1080,1.285715,151,0.179762,51,D3#,80,2
1240,1.476191,151,0.179762,58,A3#,80,2
1400,1.666667,151,0.179762,46,A2#,80,2
1440,1.714287,113,0.134523,70,A4#,80,1
1440,1.714287,113,0.134523,82,A5#,80,1
1560,1.857144,341,0.405952,58,A3#,80,1
1560,1.857144,341,0.405952,70,A4#,80,1
1560,1.857144,151,0.179762,54,F3#,80,2
1720,2.04762,151,0.179762,63,D4#,80,2
1880,2.238096,151,0.179762,46,A2#,80,2
1920,2.285716,113,0.134523,65,F4,80,1
1920,2.285716,113,0.134523,77,F5,80,1
2040,2.428573,911,1.084524,65,F4,80,1
2040,2.428573,911,1.084524,77,F5,80,1
2040,2.428573,911,1.084524,70,A4#,80,1
2040,2.428573,151,0.179762,39,D2#,80,2
2040,2.428573,151,0.179762,51,D3#,80,2
2200,2.619049,151,0.179762,58,A3#,80,2
2360,2.809525,151,0.179762,46,A2#,80,2
2520,3.000002,151,0.179762,54,F3#,80,2
2680,3.190478,151,0.179762,70,A4#,80,2
2840,3.380954,151,0.179762,46,A2#,80,2
3000,3.571431,151,0.179762,63,D4#,80,1
3000,3.571431,151,0.179762,75,D5#,80,1
3000,3.571431,455,0.541667,70,A4#,80,1
3000,3.571431,151,0.179762,39,D2#,80,2
3000,3.571431,151,0.179762,51,D3#,80,2
3160,3.761907,151,0.179762,62,D4,80,1
3160,3.761907,151,0.179762,74,D5,80,1
3160,3.761907,151,0.179762,58,A3#,80,2
3320,3.952383,151,0.179762,63,D4#,80,1
3320,3.952383,151,0.179762,75,D5#,80,1
3320,3.952383,151,0.179762,46,A2#,80,2
3480,4.14286,113,0.134524,65,F4,80,1
3480,4.14286,113,0.134524,77,F5,80,1
3480,4.14286,227,0.270238,70,A4#,80,1
3480,4.14286,151,0.179762,54,F3#,80,2
3600,4.285717,113,0.134524,66,F4#,84,1
3600,4.285717,113,0.134524,78,F5#,84,1
3640,4.333336,151,0.179762,63,D4#,86,2
3720,4.428574,113,0.134524,70,A4#,89,1
