start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,68,0.080952,37,C2#,80,3
69,0.082142,68,0.080953,44,G2#,80,3
138,0.164285,68,0.080953,49,C3#,80,3
207,0.246428,68,0.080953,53,F3,80,3
276,0.328571,68,0.080953,56,G3#,80,3
345,0.410714,68,0.080953,61,C4#,80,3
414,0.492857,68,0.080952,65,F4,80,3
480,0.571429,68,0.080952,68,G4#,80,3
549,0.653571,68,0.080953,65,F4,80,3
618,0.735714,68,0.080953,61,C4#,80,3
687,0.817857,68,0.080953,56,G3#,80,3
756,0.9,68,0.080953,53,F3,80,3
825,0.982143,68,0.080953,49,C3#,80,3
894,1.064286,64,0.076191,44,G2#,80,3
960,1.142858,68,0.080952,37,C2#,80,3
1029,1.225,68,0.080953,44,G2#,80,3
1098,1.307143,68,0.080953,49,C3#,80,3
1167,1.389286,68,0.080953,53,F3,80,3
1236,1.471429,68,0.080953,56,G3#,80,3
1305,1.553572,68,0.080953,61,C4#,80,3
1374,1.635715,68,0.080952,65,F4,80,3
1440,1.714287,68,0.080952,68,G4#,80,3
1509,1.796429,68,0.080953,65,F4,80,3
1578,1.878572,68,0.080953,61,C4#,80,3
1647,1.960715,68,0.080953,56,G3#,80,3
1716,2.042858,68,0.080953,53,F3,80,3
1785,2.125001,68,0.080953,49,C3#,80,3
1854,2.207144,64,0.076191,44,G2#,80,3
1920,2.285716,68,0.080952,37,C2#,80,3
1989,2.367858,68,0.080953,44,G2#,80,3
2058,2.450001,68,0.080953,49,C3#,80,3
2127,2.532144,68,0.080953,53,F3,80,3
2196,2.614287,68,0.080953,56,G3#,80,3
2265,2.69643,68,0.080953,61,C4#,80,3
2334,2.778573,68,0.080952,65,F4,80,3
2400,2.857145,68,0.080952,68,G4#,80,3
2469,2.939287,68,0.080953,65,F4,80,3
2538,3.02143,68,0.080953,61,C4#,80,3
2607,3.103573,68,0.080953,56,G3#,80,3
2676,3.185716,68,0.080953,53,F3,80,3
2745,3.267859,68,0.080953,49,C3#,80,3
2814,3.350002,64,0.076191,44,G2#,80,3
2880,3.428574,68,0.080952,37,C2#,80,3
2949,3.510716,68,0.080953,44,G2#,80,3
3018,3.592859,68,0.080953,49,C3#,80,3
3087,3.675002,68,0.080953,53,F3,80,3
3156,3.757145,68,0.080953,56,G3#,80,3
3225,3.839288,68,0.080953,61,C4#,80,3
3294,3.921431,68,0.080952,65,F4,80,3
3360,4.000003,68,0.080952,68,G4#,80,3
3429,4.082145,68,0.080953,65,F4,80,3
3498,4.164288,68,0.080953,61,C4#,80,3
3567,4.246431,68,0.080953,56,G3#,80,3
3636,4.328574,68,0.080953,53,F3,80,3
3705,4.410717,68,0.080953,49,C3#,80,3
3774,4.49286,64,0.076191,44,G2#,80,3
3840,4.571432,68,0.080952,37,C2#,80,3
3909,4.653574,68,0.080953,44,G2#,80,3
3978,4.735717,68,0.080953,49,C3#,80,3
4047,4.81786,68,0.080953,53,F3,80,3
4116,4.900003,68,0.080953,56,G3#,80,3
4185,4.982146,68,0.080953,61,C4#,80,3
4254,5.064289,68,0.080952,65,F4,80,3
4320,5.142861,119,0.141666,68,G4#,80,1
4389,5.225003,68,0.080953,65,F4,80,3
4458,5.307146,68,0.080953,61,C4#,80,3
4527,5.389289,68,0.080953,56,G3#,80,3
4596,5.471432,68,0.080953,53,F3,80,3
4665,5.553575,68,0.080953,49,C3#,80,3
4734,5.635718,64,0.076191,44,G2#,80,3
4800,5.71429,119,0.141666,70,A4#,80,1
4800,5.71429,68,0.080952,37,C2#,80,3
4869,5.796432,68,0.080953,44,G2#,80,3
4938,5.878575,68,0.080953,49,C3#,80,3
5007,5.960718,68,0.080953,53,F3,80,3
5076,6.042861,68,0.080953,56,G3#,80,3
5145,6.125004,68,0.080953,61,C4#,80,3
5214,6.207147,68,0.080952,65,F4,80,3
5280,6.285719,119,0.141666,73,C5#,80,1
5349,6.367861,68,0.080953,65,F4,80,3
5418,6.450004,68,0.080953,61,C4#,80,3
5487,6.532147,68,0.080953,56,G3#,80,3
5556,6.61429,68,0.080953,53,F3,80,3
5625,6.696433,68,0.080953,49,C3#,80,3
5694,6.778576,64,0.076191,44,G2#,80,3
5760,6.857148,119,0.141666,75,D5#,80,1
5760,6.857148,68,0.080952,37,C2#,80,3
5829,6.93929,68,0.080953,46,A2#,80,3
5898,7.021433,68,0.080953,49,C3#,80,3
5967,7.103576,68,0.080953,54,F3#,80,3
6036,7.185719,68,0.080953,58,A3#,80,3
6105,7.267862,68,0.080953,61,C4#,80,3
6174,7.350005,68,0.080952,66,F4#,80,3
6240,7.428577,119,0.141666,77,F5,80,1
6309,7.510719,68,0.080953,66,F4#,80,3
6378,7.592862,68,0.080953,61,C4#,80,3
6447,7.675005,68,0.080953,58,A3#,80,3
6516,7.757148,68,0.080953,54,F3#,80,3
6585,7.839291,68,0.080953,49,C3#,80,3
6654,7.921434,64,0.076191,46,A2#,80,3
6720,8.000006,119,0.141666,75,D5#,80,1
6720,8.000006,68,0.080952,37,C2#,80,3
6789,8.082148,68,0.080953,46,A2#,80,3
6858,8.164291,68,0.080953,49,C3#,80,3
6927,8.246434,68,0.080953,54,F3#,80,3
