start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part
0,0.0,239,0.196546,36,C2,33,2
240,0.197368,239,0.196546,52,E3,33,1
240,0.197368,239,0.196546,48,C3,33,1
240,0.197368,239,0.196546,43,G2,33,2
240,0.197368,239,0.196546,36,C2,33,2
480,0.394737,239,0.196546,52,E3,33,1
480,0.394737,239,0.196546,48,C3,33,1
480,0.394737,239,0.196546,43,G2,33,2
480,0.394737,239,0.196546,36,C2,33,2
720,0.592105,239,0.196546,52,E3,33,1
720,0.592105,239,0.196546,48,C3,33,1
720,0.592105,239,0.196546,43,G2,33,2
720,0.592105,239,0.196546,36,C2,33,2
960,0.789474,239,0.196546,52,E3,33,1
960,0.789474,239,0.196546,48,C3,33,1
960,0.789474,239,0.196546,43,G2,33,2
960,0.789474,239,0.196546,36,C2,33,2
1200,0.986842,239,0.196546,52,E3,33,1
1200,0.986842,239,0.196546,48,C3,33,1
1200,0.986842,239,0.196546,43,G2,33,2
1200,0.986842,239,0.196546,36,C2,33,2
1440,1.184211,239,0.196546,52,E3,33,1
1440,1.184211,239,0.196546,48,C3,33,1
1440,1.184211,239,0.196546,43,G2,33,2
1440,1.184211,239,0.196546,36,C2,33,2
1680,1.381579,239,0.196546,52,E3,33,1
1680,1.381579,239,0.196546,48,C3,33,1
1680,1.381579,239,0.196546,43,G2,33,2
1680,1.381579,239,0.196546,36,C2,33,2
1920,1.578948,239,0.196546,52,E3,33,1
1920,1.578948,239,0.196546,48,C3,33,1
1920,1.578948,239,0.196546,43,G2,33,2
1920,1.578948,239,0.196546,36,C2,33,2
2160,1.776316,239,0.196546,52,E3,33,1
2160,1.776316,239,0.196546,48,C3,33,1
2160,1.776316,239,0.196546,43,G2,33,2
2160,1.776316,239,0.196546,36,C2,33,2
2400,1.973685,239,0.196546,52,E3,33,1
2400,1.973685,239,0.196546,48,C3,33,1
2400,1.973685,239,0.196546,43,G2,33,2
2400,1.973685,239,0.196546,36,C2,33,2
2640,2.171053,239,0.196546,52,E3,33,1
2640,2.171053,239,0.196546,48,C3,33,1
2640,2.171053,239,0.196546,43,G2,33,2
2640,2.171053,239,0.196546,36,C2,33,2
2880,2.368422,239,0.196546,52,E3,33,1
2880,2.368422,239,0.196546,48,C3,33,1
2880,2.368422,239,0.196546,43,G2,33,2
2880,2.368422,239,0.196546,36,C2,33,2
3120,2.56579,239,0.196546,52,E3,33,1
3120,2.56579,239,0.196546,48,C3,33,1
3120,2.56579,239,0.196546,43,G2,33,2
3120,2.56579,239,0.196546,36,C2,33,2
3360,2.763159,239,0.196546,54,F3#,33,1
3360,2.763159,239,0.196546,50,D3,33,1
3360,2.763159,239,0.196546,45,A2,33,2
3360,2.763159,239,0.196546,36,C2,33,2
3600,2.960527,239,0.196546,54,F3#,33,1
3600,2.960527,239,0.196546,50,D3,33,1
3600,2.960527,239,0.196546,45,A2,33,2
3600,2.960527,239,0.196546,36,C2,33,2
3840,3.157896,719,0.591283,55,G3,33,1
3840,3.157896,719,0.591283,50,D3,33,1
3840,3.157896,239,0.196546,43,G2,33,2
3840,3.157896,239,0.196546,35,B1,33,2
4080,3.355264,239,0.196546,43,G2,33,2
4080,3.355264,239,0.196546,35,B1,33,2
4320,3.552633,239,0.196546,43,G2,33,2
4320,3.552633,239,0.196546,35,B1,33,2
4560,3.750001,119,0.097862,59,B3,33,1
4560,3.750001,239,0.196546,43,G2,33,2
4560,3.750001,239,0.196546,35,B1,33,2
4680,3.848685,119,0.097862,57,A3,33,1
4800,3.94737,119,0.097861,55,G3,33,1
4800,3.94737,239,0.196546,43,G2,33,2
4800,3.94737,239,0.196546,35,B1,33,2
5040,4.144738,239,0.196546,43,G2,33,2
5040,4.144738,239,0.196546,35,B1,33,2
5280,4.342107,239,0.196546,43,G2,33,2
5280,4.342107,239,0.196546,35,B1,33,2
5520,4.539475,239,0.196546,43,G2,33,2
5520,4.539475,239,0.196546,35,B1,33,2
5760,4.736844,119,0.097861,85,C6#,33,1
5760,4.736844,239,0.196546,43,G2,33,2
5760,4.736844,239,0.196546,35,B1,33,2
5880,4.835528,599,0.492599,86,D6,33,1
6000,4.934212,239,0.196546,43,G2,33,2
6000,4.934212,239,0.196546,35,B1,33,2
6240,5.131581,239,0.196546,43,G2,33,2
6240,5.131581,239,0.196546,35,B1,33,2
6360,5.230265,119,0.097862,84,C6,33,1
6480,5.328949,119,0.097862,83,B5,33,1
6480,5.328949,239,0.196546,43,G2,33,2
6480,5.328949,239,0.196546,35,B1,33,2
6600,5.427633,119,0.097862,81,A5,33,1
6720,5.526318,239,0.196546,79,G5,33,1
6720,5.526318,239,0.196546,43,G2,33,2
6720,5.526318,239,0.196546,35,B1,33,2
6960,5.723686,239,0.196546,43,G2,33,2
6960,5.723686,239,0.196546,35,B1,33,2
7200,5.921055,239,0.196546,43,G2,33,2
7200,5.921055,239,0.196546,35,B1,33,2
7440,6.118423,239,0.196546,43,G2,33,2
7440,6.118423,239,0.196546,35,B1,33,2
7680,6.315792,239,0.196546,50,D3,33,1
7680,6.315792,239,0.196546,46,A2#,33,1
7680,6.315792,239,0.196546,41,F2,33,2
7680,6.315792,239,0.196546,34,A1#,33,2
7920,6.51316,239,0.196546,50,D3,33,1
7920,6.51316,239,0.196546,46,A2#,33,1
7920,6.51316,239,0.196546,41,F2,33,2
7920,6.51316,239,0.196546,34,A1#,33,2
8160,6.710529,239,0.196546,50,D3,33,1
8160,6.710529,239,0.196546,46,A2#,33,1
8160,6.710529,239,0.196546,41,F2,33,2
8160,6.710529,239,0.196546,34,A1#,33,2
8400,6.907897,239,0.196546,50,D3,33,1
8400,6.907897,239,0.196546,46,A2#,33,1
8400,6.907897,239,0.196546,41,F2,33,2
8400,6.907897,239,0.196546,34,A1#,33,2
8640,7.105266,239,0.196546,50,D3,33,1
8640,7.105266,239,0.196546,46,A2#,33,1
8640,7.105266,239,0.196546,41,F2,33,2
8640,7.105266,239,0.196546,34,A1#,33,2
8880,7.302634,239,0.196546,50,D3,33,1
8880,7.302634,239,0.196546,46,A2#,33,1
8880,7.302634,239,0.196546,41,F2,33,2
8880,7.302634,239,0.196546,34,A1#,33,2
9120,7.500003,239,0.196546,50,D3,33,1
9120,7.500003,239,0.196546,46,A2#,33,1
9120,7.500003,239,0.196546,41,F2,33,2
9120,7.500003,239,0.196546,34,A1#,33,2
9360,7.697371,239,0.196546,50,D3,33,1
9360,7.697371,239,0.196546,46,A2#,33,1
9360,7.697371,239,0.196546,41,F2,33,2
9360,7.697371,239,0.196546,34,A1#,33,2
9600,7.89474,239,0.196546,50,D3,33,1
9600,7.89474,239,0.196546,46,A2#,33,1
9600,7.89474,239,0.196546,41,F2,33,2
9600,7.89474,239,0.196546,34,A1#,33,2
9840,8.092108,239,0.196546,50,D3,33,1
9840,8.092108,239,0.196546,46,A2#,33,1
